N_umber,Loc_cluster_IPA,Dir_IPA,Loc_cluster,Form,Sample_1,Source,Spatial
1,ƛʼ,a,кь,кьи́ркьа,sample,AA,no
2,NA,a,NA,бакьа,х,AA,no
3,NA,a,NA,бакьа,х,AA,no
4,NA,a,NA,бе́кьа,sample,AA,yes
5,NA,a,NA,рекьара́,sample,AA,yes
6,NA,a,NA,бекьара́,sample,AA,yes
7,χ,a,х,бекьара́ха,sample,AA,yes
8,unclear,a,unclear,бекьараду́,х,AA,yes
9,NA,ku,NA,бекьараду́ку,х,AA,yes
10,NA,NA,NA,бекьарадуссуб,х,AA,yes
11,NA,a,NA,бе́кьа,х,AA,yes
12,NA,a,NA,бе́кьа,х,AA,yes
13,NA,a,NA,рекьараду́,sample,AA,yes
14,NA,a,NA,ва́кьа,sample,AA,no_metaph
15,NA,a,NA,ва́кьа,х,AA,no
16,NA,a,NA,ва́кьа,х,AA,no
17,NA,a,NA,ва́кьа,sample,AA,unclear
18,NA,a,NA,ва́кьа,х,AA,no
19,NA,a,NA,ва́кьа,х,AA,no
20,NA,a,NA,ва́кьа,х,AA,no
21,NA,a,NA,ва́кьа,х,AA,no_metaph
22,NA,a,NA,ва́кьа,sample,AA,no
23,NA,a,NA,ва́кьа,х,AA,no
24,NA,a,NA,ва́кьа,х,AA,no_metaph
25,NA,a,NA,ва́кьа,х,AA,no
26,NA,a,NA,ва́кьа,х,AA,no
27,NA,a,NA,векьара́,х,AA,yes
28,NA,a,NA,векьара́,х,AA,yes
29,NA,a,NA,векьара́,sample,AA,yes
30,NA,a,NA,вакьа,sample,AA,no
31,NA,a,NA,векьара́,х,AA,yes
32,NA,a,NA,ра́кьа ,sample,AA,unclear
33,ƛʼ,a,кь,гьикьа,sample,AA,yes
34,NA,a,NA,ва́кьа,х,AA,no
35,NA,a,NA,ва́кьа,х,AA,no
36,NA,a,NA,ва́кьа,х,AA,no
37,ƛʼ,a,кь,къвари́лъикьа,sample,AA,no
38,ɬ,a,лъ,къвари́лъилъа,sample,AA,no
39,NA,a,NA,вакьа,sample,AA,yes
40,NA,a,NA,ва́кьа ,х,AA,yes
41,ƛʼ,a,кь,гьи́кьа,sample,AA,yes
42,ƛʼ,a,кь,гьикьа́ ,sample,AA,yes
43,NA,a,NA,регьина ,sample,AA,no
44,ƛʼ,a,кь,бала́гьакьа,sample,AA,no
45,NA,a,NA,бекьара́,sample,AA,yes
46,NA,a,NA,ва́кьа,х,AA,no
47,NA,a,NA,вакьа,х,AA,no
48,ƛʼ,a,кь,гъва́ркьа,sample,AA,yes
49,NA,a,NA,рекьара́,х,AA,yes
50,ƛʼ,a,кь,гъогъолакьа,х,AA,unclear
51,NA,a,NA,гьакье́ру-гьа́кьа,х,AA,no_time
52,NA,a,NA,гьакье́ру-гьа́кьа,sample,AA,no_time
53,NA,a,NA,гьакье́ру-гьа́кьа,х,AA,no_time
54,ƛʼ,a,кь,гьантIукIакьа,sample,AA,yes
55,ƛʼ,a,кь,гьикьа,sample,AA,no
56,unclear,a,unclear,гье́кукьа,sample,AA,yes
57,ƛʼ,a,кь,гьикьикьа,sample,AA,yes 
58,ƛʼ,a,кь,гьикьа,х,AA,yes
59,ƛʼ,a,кь,гьикьа,sample,AA,no
60,ƛʼ,a,кь,гьикьа́ ,х,AA,yes
61,ƛʼ,a,кь,гьикьа-гье,sample,AA,yes
62,ƛʼ,a,кь,гьикьа-гье́,х,AA,yes
63,ƛʼ,a,кь,гьикьа-гье́,sample,AA,yes
64,ƛʼ,a,кь,гьикьа-гье́,х,AA,yes
65,ƛʼ,a,кь,гьикьаду́,sample,AA,yes
66,ƛʼ,ku,кь,гьикьаду́ку,х,AA,yes
67,ƛʼ,ku,кь,гьикьаду́ку,sample,AA,yes
68,ƛʼ,a,кь,гIакъубакьа́,х,AA,no
69,NA,a,NA,бакьа,sample,AA,no
70,ƛʼ,a,кь,а́хикьа ,sample,AA,yes
71,ƛʼ,a,кь,къвари́лъикьа,х,AA,no
72,ƛʼ,a,кь,къвари́лъикьа,х,AA,no
73,ƛʼ,a,кь,зивабакьа,х,AA,no_metaph
74,ɬː,NA,лълъ,къварилъилълъи,sample,AA,no
75,NA,a,NA,бакьа,х,AA,yes
76,mix,a,mix,кьва́гьичІукьа,sample,AA,no
77,mix,a,mix,кьу́дихикьа ,sample,AA,yes
78,NA,a,NA,бекьара́ ,sample,AA,yes
79,NA,a,NA,бекьара́ ,х,AA,yes
80,NA,a,NA,бакьа,sample,AA,yes
81,ƛʼ,a,кь,на́лъикьа,sample,AA,no
82,NA,a,NA,ра́кьа,sample,AA,yes
83,NA,a,NA,ва́кьа,sample,AA,no
84,NA,a,NA,ракьа,sample,AA,yes
85,NA,a,NA,ва́кьа,sample,AA,yes
86,NA,a,NA,ва́кьа,х,AA,yes
87,NA,a,NA,ва́кьа,х,AA,yes
88,ƛʼ,a,кь,гьикьа-гье́,х,AA,yes
89,ƛʼ,a,кь,гьикьа-гье́,sample,AA,yes
90,NA,a,NA,бакьа,sample,AA,yes
91,NA,a,NA,рекьара́,х,AA,yes
92,ƛʼ,a,кь,решинакьа́,sample,AA,yes
93,ƛʼ,a,кь,гьикьа́ ,sample,AA,no
94,ƛʼ,a,кь,гьикьа́ ,х,AA,no
95,ƛʼ,a,кь,гьикьа́ ,х,AA,yes
96,ƛʼ,a,кь,бе́рхинакьа́,sample,AA,no
97,ƛʼ,a,кь,гьикьа́ гье,sample,AA,yes
98,NA,a,NA,микьа́,sample,AA,yes
99,ƛʼ,a,кь,гьикьа́,х,AA,yes
100,ƛʼ,a,кь,гьикьа́,х,AA,yes
101,mix,a,mix,гьикьа́ха,sample,AA,yes
102,ƛʼ,a,кь,гьикьа́,х,AA,yes
103,ƛʼ,a,кь,гьикьа́ ,х,AA,no
104,ƛʼ,a,кь,решинакьа́,sample,AA,no
105,ƛʼ,a,кь,гьикьа́,х,AA,yes
106,ƛʼ,a,кь,гъванкьа́,sample,AA,yes
107,ƛʼ,a,кь,решинакьа́,sample,AA,no_sense
108,ƛʼ,a,кь,гьикьа́,sample,AA,yes
109,ƛʼ,a,кь,гьикьа́,sample,AA,yes
110,ƛʼ,a,кь,гьикьа́,х,AA,yes
111,ƛʼ,a,кь,гьикьа́,sample,AA,no
112,ƛʼ,a,кь,гьикьа́,х,AA,yes
113,ƛʼ,a,кь,гьикьа́,х,AA,yes
114,ƛʼ,a,кь,гьикьа́,х,AA,no
115,ƛʼ,a,кь,гьикьа́гье,sample,AA,unclear
116,ƛʼ,a,кь,гьикьа́-гье,х,AA,yes
117,ƛʼ,a,кь,гIайибакьа́,sample,AA,no
118,ƛʼ,a,кь,законакьа́,х,AA,no
119,ƛʼ,a,кь,гьикьа́,х,AA,yes
120,ƛʼ,a,кь,гьикьа́,х,AA,yes
121,ƛʼ,a,кь,гьикьа́,х,AA,no
122,ƛʼ,a,кь,гьикьа́,х,AA,yes
123,ƛʼ,a,кь,гьикьа́,х,AA,yes
124,ƛʼ,a,кь,гьикьа́,sample,AA,yes
125,ƛʼ,a,кь,гьикьа́,sample,AA,yes
126,ƛʼ,a,кь,гьикьа́,х,AA,yes
127,ƛʼ,a,кь,гьикьа́,х,AA,yes
128,ƛʼ,a,кь,микъаракьа́,sample,AA,yes
129,unclear,a,unclear,гьикьа́б,sample,AA,no
130,ƛʼ,a,кь,гьикьа́,sample,AA,yes
131,ƛʼ,a,кь,решинакьа́,sample,AA,yes
132,ƛʼ,a,кь,гьикьа́ гье,х,AA,yes
133,ƛʼ,a,кь,гьикьа́,х,AA,yes
134,ƛʼ,a,кь,тамихIакьа́,sample,AA,no
135,ƛʼ,a,кь,тамихIакьа́,х,AA,no
136,ƛʼ,a,кь,тамихIакьа́,х,AA,no
137,ƛʼ,a,кь,тамихIакьа́,х,AA,no
138,ƛʼ,a,кь,гьикьа́-гье,sample,AA,yes
139,ƛʼ,a,кь,гьикьа́-гье,х,AA,yes
140,ƛʼ,a,кь,гьикьа́,х,AA,no
141,ƛʼ,a,кь,гьикьа́,sample,AA,no
142,ƛʼ,a,кь,гьикьа́,х,AA,no
