N_N, Type_Host,Type_Loc,Type_Dir_cluster,Type_Dir,Type_NS,P_of_Sp,P_of_Sp_cluster,Host_Lemma,Host_Trans,
1,geo,,,lat,transformation_result,n,n,кьи́ри,мост,
2,location_pp,,,,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
3,location_pp,,,,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
4,building_хозпостройки,in_room,motion towards (lat__term),lat ,,n,n,бе́кьи,хлев_ сарай,
5,location_pp,near,motion towards (lat__term),lat ,,adv,adv,векьа́ру,рядом_ около_ поблизости,
6,building_part,near,motion towards (lat__term),lat ,,n,n,бекьа́р,противоположная входу стена (комнаты_ огорода),
7,building_part,near,motion towards (lat__term),lat ,,n,n,бекьа́р,противоположная входу стена (комнаты_ огорода),
8,location_pp,near,absence of movement,ess,,adv,adv,векьа́ру>бекьараду,рядом_ около_ поблизости>поблизости,
9,location_pp,unspecified,source,source,,adv,adv,векьа́ру>бекьараду,рядом_ около_ поблизости>поблизости,
10,location_pp,unspecified,absence of movement,ess,,adv,adv,векьа́ру>бекьараду,рядом_ около_ поблизости>поблизости,
11,building_хозпостройки,in_room,motion towards (lat__term),lat ,,n,n,бе́кьи,хлев_ сарай,
12,building_хозпостройки,in_room,motion towards (lat__term),lat ,,n,n,бе́кьи,хлев_ сарай,
13,location_pp,near,motion towards (lat__term),lat,,adv,adv,векьа́ру>бекьараду,рядом_ около_ поблизости>поблизости,
14,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
15,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
16,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
17,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
18,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
19,location_pp,,,,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
20,location_pp,,,,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
21,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
22,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
23,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
24,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
25,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
26,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
27,location_pp,,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
28,location_pp,,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
29,location_pp,,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
30,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
31,location_pp,,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
32,location_pp,,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
33,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
34,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
35,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
36,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
37,abstract_state_unpleasant,,,lat,,n,n,къвари́лъи,горе_ беда,
38,abstract_state_unpleasant,,,lat,,n,n,къвари́лъи,горе_ беда,
39,location_pp,between_contact_tight,motion towards (lat__term),lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
40,location_pp,between_contact_tight,prolative__prosecutive,prolat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
41,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
42,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
43,institution,,,lat,change of status __ into_new_period,n,n,регьи́н,брак,
44,event_unpleasant,,,lat,,n,n,бала́гь,зло_беда_несчастье,
45,location_pp,near,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
46,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
47,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
48,bodily_location,3D_contact,motion towards (lat__term),lat,,unclear,unclear,гъва́ркьи,подмышкой,
49,location_pp,near,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
50,unclear,,,,,n,n,гъогъо́ла,бутон_почки_цветов,
51,time_span,,,lat,manner_redupl,n,n,гьа́къу,неделя,
52,time_span,,,lat,manner_redupl,n,n,гьа́къу,неделя,
53,time_span,,,lat,manner_redupl,n,n,гьа́къу,неделя,
54,bodypart,in_hole,motion towards (lat__term),lat,,n,n,гьантIукIа,ухо,
55,location_pp_gravitational,,,lat,manner_redupl,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
56,location_pp_gravitational,unclear,absence of movement,ess,,pp_adv<DEM,pp_adv,гьеа__гье,наверху__на,
57,toponym,,unclear,unclear,,n<pp_adv<DEM,n,Гьи́кьику,Нижний_Ботлих,
58,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
59,location_pp_gravitational,,,lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
